lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
,1399,29053270.0,29028728.0,13422.5078125,5421.701171875,5697.4541015625,7.0,20,
,1448,,,,,,,20,301256.3125
7.245275499999987e-05,1449,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,
,1449,44237620.0,43460384.0,383170.53125,180165.1875,213901.015625,7.0,21,
7.495250499999989e-05,1499,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,
,1499,1555962.875,1546874.625,4406.673828125,2238.1181640625,2443.130859375,7.0,21,
,1517,,,,,,,21,2853.3193359375
7.74522549999999e-05,1549,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,
,1549,908244.0625,907516.9375,384.75384521484375,173.59022521972656,168.3750762939453,7.0,22,
,1586,,,,,,,22,579.6541137695312
7.995200499999991e-05,1599,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,
,1599,741087.3125,740461.25,371.28472900390625,124.72805786132812,129.55039978027344,7.0,23,
8.245175499999988e-05,1649,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,
,1649,7691470.0,7610265.0,37803.3046875,21341.146484375,22060.03125,8.0,23,
,1655,,,,,,,23,481616.09375
8.495150499999989e-05,1699,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,
,1699,414548.21875,390887.96875,12130.7470703125,5867.07080078125,5662.02685546875,8.0,24,
,1724,,,,,,,24,14478.552734375
8.745125499999985e-05,1749,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,
,1749,359906.25,7374.68017578125,189709.40625,80008.9921875,82812.7421875,8.0,25,
,1793,,,,,,,25,807485.375
8.995100499999985e-05,1799,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,
,1799,86852208.0,86827112.0,12027.509765625,6325.28857421875,6745.4462890625,8.0,26,
9.245075499999987e-05,1849,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,
,1849,8896254.0,8883088.0,7936.3193359375,2984.128662109375,2246.0693359375,8.0,26,
,1862,,,,,,,26,114154.46875
9.49505049999999e-05,1899,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,
,1899,5749.8857421875,85.46278381347656,3132.736328125,1244.1348876953125,1287.1380615234375,8.0,27,
,1931,,,,,,,27,95934.2734375
9.745025499999994e-05,1949,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,
,1949,1094177.125,1088512.625,3147.5751953125,1249.6514892578125,1266.8974609375,8.0,28,
9.995000499999993e-05,1999,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,
,1999,29178.716796875,115.27590942382812,16205.841796875,6377.302734375,6479.87109375,8.0,28,
,2000,,,,,,,28,15292.6162109375
9.999999999999994e-05,2049,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,
,2049,2975.16748046875,123.65983581542969,1811.396728515625,499.66412353515625,540.0230102539062,8.0,29,
,2069,,,,,,,29,26089.298828125
9.999999999999994e-05,2099,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,
,2099,35665.3671875,247.64617919921875,17454.32421875,8909.3408203125,9053.64453125,8.0,30,
,2138,,,,,,,30,3935.063232421875
9.999999999999994e-05,2149,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,
,2149,2400.982666015625,31.626270294189453,1484.1112060546875,442.84442138671875,441.9837951660156,8.0,31,
9.999999999999994e-05,2199,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,
,2199,265720.71875,5440.427734375,139143.6875,58173.2265625,62962.96484375,8.0,31,
,2207,,,,,,,31,653.3106689453125
9.999999999999994e-05,2249,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,
,2249,2288184320.0,1465396864.0,442654848.0,181828816.0,198303856.0,8.0,32,
,2276,,,,,,,32,350724423680.0
9.999999999999994e-05,2299,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,
,2299,3.1507162652118876e+18,3.1506975735142154e+18,12517008998400.0,3777840021504.0,2211031810048.0,8.0,33,
,2345,,,,,,,33,2.1351776939596055e+20
9.999999999999994e-05,2349,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,
,2349,7.946764235031779e+21,7.616881754776378e+21,2.1989198134980588e+20,8.272798494958708e+19,2.726239520875243e+19,8.0,34,
9.999999999999994e-05,2399,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,
,2399,3.7961404103855245e+27,3.7961401152376193e+27,2.3223300541307997e+20,8.997936968788607e+19,3.6500293993233383e+19,8.0,34,
,2414,,,,,,,34,2.300678998922216e+20
9.999999999999994e-05,2449,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,
,2449,1.319051638741178e+22,1.2773101381848853e+22,2.326315036113581e+20,8.940969951939579e+19,9.537350336501095e+19,8.0,35,
,2483,,,,,,,35,2.3016270418281497e+20
9.999999999999994e-05,2499,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,
,2499,1.1872046631756857e+25,1.1871723813735567e+25,2.3092509674942182e+20,8.658216023303494e+19,5.727678225992122e+18,8.0,36,
9.999999999999994e-05,2549,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,
,2549,3.53367187156344e+27,3.5336712812676296e+27,2.29071918279317e+20,8.34958662782398e+19,1.6269565035568903e+20,8.0,36,
,2552,,,,,,,36,2.302382098453176e+20
9.999999999999994e-05,2599,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,
,2599,3.761588035421988e+27,3.761587740274083e+27,2.3294216402471643e+20,8.86795358376223e+19,2.1091968939022352e+19,8.0,37,
,2621,,,,,,,37,2.302615018996404e+20
9.999999999999994e-05,2649,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,
,2649,1.213240196000056e+24,1.2128262971799022e+24,2.335556387364573e+20,8.95657598017958e+19,9.072964123830832e+19,9.0,38,
,2690,,,,,,,38,2.3000275602729914e+20
9.999999999999994e-05,2699,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,
,2699,1.1356401480015128e+24,1.1352932627438142e+24,2.3073439745270035e+20,8.735299704894312e+19,2.885889708739946e+19,9.0,39,
9.999999999999994e-05,2749,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,
,2749,1.2059266741761492e+27,1.2059263052412677e+27,2.3091864041714352e+20,8.744255007200222e+19,4.276038103816208e+19,9.0,39,
,2759,,,,,,,39,2.30316002492006e+20
9.999999999999994e-05,2799,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,
,2799,2.3051917526787792e+24,2.3047568130411662e+24,2.182035888863791e+20,8.307500841149923e+19,1.336706280564489e+20,9.0,40,
,2828,,,,,,,40,2.3045596592417538e+20
9.999999999999994e-05,2849,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,
,2849,1.1990912700531243e+27,1.1990909011182428e+27,2.3360382373403296e+20,8.863669006851113e+19,6.200579716414859e+19,9.0,41,
