lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
2.4597549999999995e-06,49,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,
,49,3.9149441719055176,0.005379070527851582,1.10368013381958,0.8755179643630981,0.9243221282958984,6.0,0,
,68,,,,,,,0,1.0986946821212769
4.959504999999999e-06,99,,,,,,,,
4.959504999999999e-06,99,,,,,,,,
4.959504999999999e-06,99,,,,,,,,
,99,3.5756239891052246,0.00019191880710422993,1.029198408126831,0.8207794427871704,0.7401210069656372,6.0,1,
,137,,,,,,,1,0.995841920375824
7.459254999999993e-06,149,,,,,,,,
7.459254999999993e-06,149,,,,,,,,
7.459254999999993e-06,149,,,,,,,,
,149,3.45147967338562,0.005526684690266848,1.0620874166488647,0.7922396063804626,0.6080191135406494,6.0,2,
9.959004999999994e-06,199,,,,,,,,
9.959004999999994e-06,199,,,,,,,,
9.959004999999994e-06,199,,,,,,,,
,199,3.1397321224212646,0.008364828303456306,0.9266762137413025,0.74881911277771,0.5533433556556702,6.0,2,
,206,,,,,,,2,0.9238824844360352
1.2458755000000009e-05,249,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,
,249,3.0138444900512695,0.01280122622847557,0.9239732027053833,0.770021378993988,0.4730924367904663,6.0,3,
,275,,,,,,,3,0.9099159836769104
1.4958504999999994e-05,299,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,
,299,2.767158269882202,0.0010642621200531721,0.9420573711395264,0.7448422312736511,0.4136475920677185,6.0,4,
,344,,,,,,,4,0.8983840942382812
1.7458254999999992e-05,349,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,
,349,3.0370612144470215,0.3975682854652405,0.9520155191421509,0.7318217158317566,0.434933066368103,6.0,5,
1.9958005000000005e-05,399,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,
,399,3.8170416355133057,1.3920342922210693,0.8658721446990967,0.7450940012931824,0.3672999143600464,6.0,5,
,413,,,,,,,5,0.9976176619529724
2.2457754999999994e-05,449,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,
,449,3.8273839950561523,0.6263800859451294,1.518083930015564,0.7963255047798157,0.45988398790359497,6.0,6,
,482,,,,,,,6,1.0011755228042603
2.4957504999999976e-05,499,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,
,499,4.965827465057373,2.381065845489502,0.9392921328544617,0.7704725861549377,0.44965454936027527,6.0,7,
2.745725499999997e-05,549,,,,,,,,
2.745725499999997e-05,549,,,,,,,,
2.745725499999997e-05,549,,,,,,,,
,549,5.3692474365234375,2.532593250274658,0.9351178407669067,0.9376350045204163,0.5502520799636841,6.0,7,
,551,,,,,,,7,1.0825541019439697
2.9957004999999947e-05,599,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,
,599,932.3009643554688,927.7879638671875,2.0677685737609863,1.2195369005203247,0.8155093193054199,6.0,8,
,620,,,,,,,8,62.6700439453125
3.245675499999995e-05,649,,,,,,,,
3.245675499999995e-05,649,,,,,,,,
3.245675499999995e-05,649,,,,,,,,
,649,61172.3046875,52692.3984375,5001.3349609375,2119.128173828125,1359.0279541015625,6.0,9,
,689,,,,,,,9,194429.84375
3.495650499999994e-05,699,,,,,,,,
3.495650499999994e-05,699,,,,,,,,
3.495650499999994e-05,699,,,,,,,,
,699,795180.3125,788969.3125,3804.0439453125,1363.76513671875,1042.77392578125,6.0,10,
3.745625499999992e-05,749,,,,,,,,
3.745625499999992e-05,749,,,,,,,,
3.745625499999992e-05,749,,,,,,,,
,749,3407122688.0,244053888.0,1701836800.0,677439680.0,783792320.0,7.0,10,
,758,,,,,,,10,74880.6171875
3.9956004999999894e-05,799,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,
,799,49504.7734375,34586.0625,3118.6416015625,6005.4716796875,5794.1806640625,7.0,11,
,827,,,,,,,11,230.11849975585938
4.245575499999985e-05,849,,,,,,,,
4.245575499999985e-05,849,,,,,,,,
4.245575499999985e-05,849,,,,,,,,
,849,25074.748046875,14248.6171875,5115.3544921875,2621.44775390625,3088.902587890625,7.0,12,
,896,,,,,,,12,6334.13916015625
4.495550499999983e-05,899,,,,,,,,
4.495550499999983e-05,899,,,,,,,,
4.495550499999983e-05,899,,,,,,,,
,899,281012.875,267103.90625,6757.833984375,3667.85546875,3482.873291015625,7.0,13,
4.7455254999999786e-05,949,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,
,949,39007376.0,38972088.0,19952.59765625,8951.310546875,6384.3427734375,7.0,13,
,965,,,,,,,13,14843.6005859375
4.9955004999999796e-05,999,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,
,999,2668127.75,2588530.75,57572.8671875,11733.7626953125,10289.9609375,7.0,14,
,1034,,,,,,,14,1150.046630859375
5.245475499999979e-05,1049,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,
,1049,917495.75,914527.5,1487.021484375,742.2525634765625,738.5603637695312,7.0,15,
5.4954504999999814e-05,1099,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,
,1099,290918.75,289167.5,1060.889404296875,385.07049560546875,304.9029541015625,7.0,15,
,1103,,,,,,,15,1178.343505859375
5.745425499999982e-05,1149,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,
,1149,2702356.0,2700329.0,1654.76416015625,190.611328125,181.2554473876953,7.0,16,
,1172,,,,,,,16,1754.927734375
5.995400499999984e-05,1199,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,
,1199,2732629.25,2731632.25,425.08892822265625,292.19195556640625,279.36907958984375,7.0,17,
,1241,,,,,,,17,363.1110534667969
6.245375499999984e-05,1249,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,
,1249,465759.0,464657.25,774.72021484375,153.3856964111328,173.2582550048828,7.0,18,
6.495350499999981e-05,1299,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,
,1299,1373806.625,1373299.0,219.86241149902344,182.01516723632812,105.43224334716797,7.0,18,
,1310,,,,,,,18,230.103515625
6.745325499999981e-05,1349,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,
,1349,884382.1875,838994.0,22473.697265625,10936.083984375,11978.015625,7.0,19,
,1379,,,,,,,19,3539.220947265625
6.995300499999984e-05,1399,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,
