lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
6.745325499999981e-05,1349,,,,,,,,
,1349,1.5646708011627197,0.02305343560874462,0.8146947026252747,0.6479311585426331,0.07899151742458344,7.0,19,
,1379,,,,,,,19,0.8525371551513672
6.995300499999984e-05,1399,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,
,1399,1.5530258417129517,0.019534943625330925,0.8275156021118164,0.6317853331565857,0.07419002056121826,7.0,20,
,1448,,,,,,,20,0.8637130856513977
7.245275499999987e-05,1449,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,
,1449,1.6279820203781128,0.023419683799147606,0.8705958724021912,0.6577786207199097,0.0761878713965416,7.0,21,
7.495250499999989e-05,1499,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,
,1499,1.575110912322998,0.011535839177668095,0.8561107516288757,0.638450026512146,0.0690142959356308,7.0,21,
,1517,,,,,,,21,0.8441142439842224
7.74522549999999e-05,1549,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,
,1549,1.5643476247787476,0.009861220605671406,0.8442378044128418,0.6470195055007935,0.06322909891605377,7.0,22,
,1586,,,,,,,22,0.846438467502594
7.995200499999991e-05,1599,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,
,1599,1.5528388023376465,0.017627712339162827,0.8371983170509338,0.6254981756210327,0.07251447439193726,7.0,23,
8.245175499999988e-05,1649,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,
,1649,1.5011823177337646,0.005692604463547468,0.8148059248924255,0.6283824443817139,0.052301421761512756,8.0,23,
,1655,,,,,,,23,0.8477153182029724
8.495150499999989e-05,1699,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,
,1699,1.4891095161437988,0.004635153338313103,0.8092367649078369,0.6271363496780396,0.048101216554641724,8.0,24,
,1724,,,,,,,24,0.9045721292495728
8.745125499999985e-05,1749,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,
,1749,4.486236095428467,2.9682788848876953,0.8163691163063049,0.6361838579177856,0.06540432572364807,8.0,25,
,1793,,,,,,,25,0.8689718246459961
8.995100499999985e-05,1799,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,
,1799,1.6022731065750122,0.0006292621837928891,0.9054309129714966,0.6391481161117554,0.05706492438912392,8.0,26,
9.245075499999987e-05,1849,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,
,1849,14.374719619750977,12.509262084960938,0.9113392233848572,0.7907626032829285,0.16335628926753998,8.0,26,
