lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,lambda_reg,epoch,val_loss
,1172,,,,,,,,16,18147164160.0
5.995400499999984e-05,1199,,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,,
,1199,1.0322193171328532e+20,1.0321116529542614e+20,5473327544008704.0,2770699240341504.0,2527081984425984.0,7.0,1.0,17,
,1241,,,,,,,,17,1.5432604547284992e+16
6.245375499999984e-05,1249,,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,,
,1249,3.5489835488957845e+22,3.548980846736008e+22,7008876062834688.0,9952729862504448.0,1.0567158220193792e+16,7.0,1.0,18,
6.495350499999981e-05,1299,,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,,
,1299,1.2960029544386347e+24,1.2960029544386347e+24,6775361375305728.0,1.0413356515065856e+16,7367548244852736.0,7.0,1.0,18,
,1310,,,,,,,,18,1.5472001208549376e+16
6.745325499999981e-05,1349,,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,,
,1349,5.785991704780525e+19,5.784056124510988e+19,7595700128841728.0,9586285400293376.0,2171673709117440.0,7.0,1.0,19,
,1379,,,,,,,,19,1.5341760620265472e+16
6.995300499999984e-05,1399,,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,,
,1399,4.023455108497832e+22,4.023452856698018e+22,7516415569428480.0,1.0745731149201408e+16,3958626796437504.0,7.0,1.0,20,
,1448,,,,,,,,20,1.5634143740166144e+16
7.245275499999987e-05,1449,,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,,
,1449,1.2985974601695644e+24,1.2985974601695644e+24,6774310182060032.0,1.0641510546538496e+16,1.0444733398646784e+16,7.0,1.0,21,
7.495250499999989e-05,1499,,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,,
,1499,4.000560159072168e+22,4.0005579072723545e+22,7542854314360832.0,9967346709954560.0,2966743827873792.0,7.0,1.0,21,
,1517,,,,,,,,21,1.5073458308251648e+16
7.74522549999999e-05,1549,,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,,
,1549,1.2934604742906005e+24,1.2934604742906005e+24,7584889696157696.0,1.0357956805656576e+16,2000764746596352.0,7.0,1.0,22,
,1586,,,,,,,,22,1.5672084407517184e+16
7.995200499999991e-05,1599,,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,,
,1599,5.9679916655030305e+19,5.96575349963353e+19,6800341978841088.0,1.0215646285529088e+16,5365184025591808.0,7.0,1.0,23,
8.245175499999988e-05,1649,,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,,
,1649,9.766670418952847e+18,9.733576218468418e+18,6806928311189504.0,9601343555633152.0,1.668615732461568e+16,8.0,1.0,23,
,1655,,,,,,,,23,1.5579834952450048e+16
8.495150499999989e-05,1699,,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,,
,1699,2.6798821624191556e+24,2.6798818741887795e+24,3.45331244797526e+17,9433144046387200.0,3489447790247936.0,8.0,1.0,24,
,1724,,,,,,,,24,1.5467386266189824e+16
8.745125499999985e-05,1749,,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,,
,1749,2.9773749297948937e+23,2.977371507059177e+23,3.286418608787292e+17,1.0415669354954752e+16,7369700023468032.0,8.0,1.0,25,
,1793,,,,,,,,25,1.5439407775481856e+16
8.995100499999985e-05,1799,,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,,
,1799,9.56865827039504e+18,9.543796113467769e+18,6813939845300224.0,1.000007436075008e+16,8048141647478784.0,8.0,1.0,26,
9.245075499999987e-05,1849,,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,,
,1849,2.9858593512048895e+23,2.9858559284691727e+23,3.20629857086079e+17,1.0369740048433152e+16,8165159642071040.0,8.0,1.0,26,
,1862,,,,,,,,26,1.5438138612645888e+16
9.49505049999999e-05,1899,,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,,
,1899,2.9515212054860404e+23,2.9515210253420554e+23,6816648359051264.0,9749077545713664.0,4746606192623616.0,8.0,1.0,27,
,1931,,,,,,,,27,1.5601891756998656e+16
9.745025499999994e-05,1949,,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,,
,1949,2.709471604604514e+24,2.709471316374138e+24,2.956775402053304e+17,1.0454139377025024e+16,8135480881184768.0,8.0,1.0,28,
9.995000499999993e-05,1999,,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,,
,1999,4.5549941433680947e+21,4.5549679661952606e+21,6811884703449088.0,1.0049098191208448e+16,9300789260451840.0,8.0,1.0,28,
,2000,,,,,,,,28,1.5607800558256128e+16
9.999999999999994e-05,2049,,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,,
,2049,4.549160011525813e+21,4.5491304566532583e+21,1.0361552767025152e+16,9999023167504384.0,8989916306341888.0,8.0,1.0,29,
,2069,,,,,,,,29,1.5526186515955712e+16
9.999999999999994e-05,2099,,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,,
,2099,4.4880332167334666e+21,4.48801069873533e+21,1.0375639186014208e+16,9909144534384640.0,2244945314316288.0,8.0,1.0,30,
,2138,,,,,,,,30,1.554466239152128e+16
9.999999999999994e-05,2149,,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,,
,2149,9.15990327789722e+18,9.121231254925083e+18,1.0412849708924928e+16,9713576419786752.0,1.854567737406259e+16,8.0,1.0,31,
9.999999999999994e-05,2199,,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,,
,2199,4.550008377105619e+21,4.549694813981563e+21,2.966207837430088e+17,1.0301590728605696e+16,6478314994663424.0,8.0,1.0,31,
,2207,,,,,,,,31,1.496926562287616e+16
9.999999999999994e-05,2249,,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,,
,2249,3.001857037801235e+23,3.0018566775132648e+23,6791462670827520.0,1.0137429562359808e+16,1.1287299681681408e+16,8.0,1.0,32,
,2276,,,,,,,,32,1.54047323570176e+16
9.999999999999994e-05,2299,,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,,
,2299,4.488187465020704e+21,4.488159317523033e+21,6887539478626304.0,9368326547439616.0,1.2174881516945408e+16,8.0,1.0,33,
,2345,,,,,,,,33,1.5408967194771456e+16
9.999999999999994e-05,2349,,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,,
9.999999999999994e-05,2349,,,,,,,,,
,2349,1.0008583867784495e+19,9.623417247993168e+18,3.653035986381701e+17,1.0203880222621696e+16,9659238641041408.0,8.0,1.0,34,
9.999999999999994e-05,2399,,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,,
9.999999999999994e-05,2399,,,,,,,,,
,2399,2.9218914831056147e+23,2.921888240513883e+23,2.902579786725458e+17,9721020671852544.0,1.6597109767667712e+16,8.0,1.0,34,
,2414,,,,,,,,34,1.5619374421377024e+16
9.999999999999994e-05,2449,,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,,
9.999999999999994e-05,2449,,,,,,,,,
,2449,4.526515068174464e+21,4.526486639201816e+21,1.0429849189482496e+16,9956452525408256.0,8183907174318080.0,8.0,1.0,35,
,2483,,,,,,,,35,1.5574575764996096e+16
9.999999999999994e-05,2499,,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,,
9.999999999999994e-05,2499,,,,,,,,,
,2499,2.6969727825730714e+24,2.6969727825730714e+24,1.0388283569733632e+16,1.0157245467721728e+16,3796679685832704.0,8.0,1.0,36,
9.999999999999994e-05,2549,,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,,
9.999999999999994e-05,2549,,,,,,,,,
,2549,2.697914142981583e+24,2.697913854751207e+24,2.6596576390545408e+17,9749051775909888.0,7560864185974784.0,8.0,1.0,36,
,2552,,,,,,,,36,1.5518059364089856e+16
9.999999999999994e-05,2599,,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,,
9.999999999999994e-05,2599,,,,,,,,,
,2599,2.9772891812579886e+23,2.977286298954227e+23,2.6842769069912883e+17,1.0341496343494656e+16,3640536149786624.0,8.0,1.0,37,
,2621,,,,,,,,37,1.553676502040576e+16
9.999999999999994e-05,2649,,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,,
9.999999999999994e-05,2649,,,,,,,,,
,2649,2.7612797465041293e+25,2.7612269426992183e+25,3.123938418180426e+20,1.334695053894961e+20,8.364417720268725e+19,9.0,1.0,38,
,2690,,,,,,,,38,5.629316927321979e+20
9.999999999999994e-05,2699,,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,,
9.999999999999994e-05,2699,,,,,,,,,
,2699,3.247382985249527e+24,3.2462937626580497e+24,5.6524967434978224e+20,2.1730689757150917e+20,3.067272227712758e+20,9.0,1.0,39,
9.999999999999994e-05,2749,,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,,
9.999999999999994e-05,2749,,,,,,,,,
,2749,4.776212989989405e+25,4.776104615367972e+25,5.624308431955134e+20,2.1629499503023437e+20,3.0442472227741054e+20,9.0,1.0,39,
,2759,,,,,,,,39,5.6602904337592195e+20
9.999999999999994e-05,2799,,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,,
,2799,4.778045836142715e+22,4.696485646891035e+22,5.642350626118566e+20,2.1704737764298195e+20,3.4321495154562695e+19,9.0,1.0,40,
,2828,,,,,,,,40,5.659980107597396e+20
9.999999999999994e-05,2849,,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,,
,2849,4.748262631086988e+22,4.663834549592599e+22,5.6353517508226554e+20,2.164514247485413e+20,6.429285171866685e+19,9.0,1.0,41,
,2897,,,,,,,,41,5.6582743692385295e+20
9.999999999999994e-05,2899,,,,,,,,,
9.999999999999994e-05,2899,,,,,,,,,
9.999999999999994e-05,2899,,,,,,,,,
,2899,4.739441430496858e+22,4.628733043736911e+22,5.5300248700686906e+20,2.1645974585254032e+20,3.376194181246191e+20,9.0,1.0,42,
9.999999999999994e-05,2949,,,,,,,,,
9.999999999999994e-05,2949,,,,,,,,,
9.999999999999994e-05,2949,,,,,,,,,
,2949,4.7910123515911406e+25,4.790893370091865e+25,5.6276199850561346e+20,2.167925548281286e+20,4.113193834672816e+20,9.0,1.0,42,
,2966,,,,,,,,42,5.6571843573912175e+20
9.999999999999994e-05,2999,,,,,,,,,
9.999999999999994e-05,2999,,,,,,,,,
9.999999999999994e-05,2999,,,,,,,,,
,2999,4.735143645372458e+22,4.6467528465659455e+22,5.619552560379886e+20,2.1597013772273818e+20,1.059834563215145e+20,9.0,1.0,43,
,3035,,,,,,,,43,5.660112752680171e+20
9.999999999999994e-05,3049,,,,,,,,,
9.999999999999994e-05,3049,,,,,,,,,
9.999999999999994e-05,3049,,,,,,,,,
,3049,4.791562064564537e+25,4.791445850076873e+25,5.5301515338082104e+20,2.1661867366126558e+20,3.906290375385835e+20,9.0,1.0,44,
9.999999999999994e-05,3099,,,,,,,,,
9.999999999999994e-05,3099,,,,,,,,,
9.999999999999994e-05,3099,,,,,,,,,
,3099,4.7198156440407026e+22,4.635011511977428e+22,5.6268638728999456e+20,2.158376157852656e+20,6.951956935730004e+19,9.0,1.0,44,
,3104,,,,,,,,44,5.658159316341799e+20
9.999999999999994e-05,3149,,,,,,,,,
9.999999999999994e-05,3149,,,,,,,,,
9.999999999999994e-05,3149,,,,,,,,,
,3149,4.734236170047543e+22,4.64715997197226e+22,5.643355491785423e+20,2.167496298941802e+20,8.967549985834087e+19,9.0,1.0,45,
,3173,,,,,,,,45,5.659087831921223e+20
9.999999999999994e-05,3199,,,,,,,,,
9.999999999999994e-05,3199,,,,,,,,,
9.999999999999994e-05,3199,,,,,,,,,
,3199,9.935241252516953e+20,1.3673509010836292e+20,5.524919969522322e+20,2.1698796883070996e+20,8.730913093304136e+19,9.0,1.0,46,
,3242,,,,,,,,46,5.659992422127627e+20
9.999999999999994e-05,3249,,,,,,,,,
9.999999999999994e-05,3249,,,,,,,,,
9.999999999999994e-05,3249,,,,,,,,,
,3249,3.3448178227557324e+24,3.3439496728627635e+24,5.6373963146847375e+20,2.169915048601049e+20,8.730782031518106e+19,9.0,1.0,47,
9.999999999999994e-05,3299,,,,,,,,,
9.999999999999994e-05,3299,,,,,,,,,
9.999999999999994e-05,3299,,,,,,,,,
,3299,4.773879476864081e+25,4.773765107050824e+25,5.6636776332602114e+20,2.1641909031059168e+20,3.5997771439656036e+20,9.0,1.0,47,
,3311,,,,,,,,47,5.659275012780736e+20
9.999999999999994e-05,3349,,,,,,,,,
9.999999999999994e-05,3349,,,,,,,,,
9.999999999999994e-05,3349,,,,,,,,,
