lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
6.245375499999984e-05,1249,,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,,
,1249,0.24430963397026062,0.05045376718044281,0.135575532913208,0.025326354429125786,0.022688644006848335,0.01026533730328083,7.0,17,
,1277,,,,,,,,17,0.12122824043035507
6.495350499999981e-05,1299,,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,,
,1299,0.18371517956256866,0.05351702868938446,0.0847141295671463,0.01869194209575653,0.017254792153835297,0.009537292644381523,7.0,18,
,1348,,,,,,,,18,0.12425337731838226
6.745325499999981e-05,1349,,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,,
,1349,0.20260289311408997,0.05089370906352997,0.0976460874080658,0.02209578827023506,0.020112263038754463,0.011855052784085274,8.0,19,
6.995300499999984e-05,1399,,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,,
6.995300499999984e-05,1399,,,,,,,,,
,1399,0.14100244641304016,0.040558189153671265,0.05920791253447533,0.016088811680674553,0.015731284394860268,0.009416237473487854,8.0,19,
,1419,,,,,,,,19,0.07952913641929626
7.245275499999987e-05,1449,,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,,
7.245275499999987e-05,1449,,,,,,,,,
,1449,0.14357569813728333,0.030559618026018143,0.0690813958644867,0.017478808760643005,0.016952339559793472,0.009503540582954884,8.0,20,
,1490,,,,,,,,20,0.07982731610536575
7.495250499999989e-05,1499,,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,,
7.495250499999989e-05,1499,,,,,,,,,
,1499,0.24519355595111847,0.06495999544858932,0.11490917205810547,0.028101906180381775,0.02700956165790558,0.010212913155555725,8.0,21,
7.74522549999999e-05,1549,,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,,
7.74522549999999e-05,1549,,,,,,,,,
,1549,0.12217003852128983,0.03810657933354378,0.041317619383335114,0.016752345487475395,0.016201645135879517,0.00979184452444315,8.0,21,
,1561,,,,,,,,21,0.05770927667617798
7.995200499999991e-05,1599,,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,,
7.995200499999991e-05,1599,,,,,,,,,
,1599,0.14221471548080444,0.0321938619017601,0.07530686259269714,0.01398780383169651,0.013072440400719643,0.007653737906366587,8.0,22,
,1632,,,,,,,,22,0.0872967541217804
8.245175499999988e-05,1649,,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,,
8.245175499999988e-05,1649,,,,,,,,,
,1649,0.1744670271873474,0.035429149866104126,0.09443528950214386,0.018241673707962036,0.01748267374932766,0.008878241293132305,8.0,23,
8.495150499999989e-05,1699,,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,,
8.495150499999989e-05,1699,,,,,,,,,
,1699,0.17418840527534485,0.04331270977854729,0.09149928390979767,0.014798210933804512,0.014762651175260544,0.009815539233386517,8.0,23,
,1703,,,,,,,,23,0.08326666802167892
8.745125499999985e-05,1749,,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,,
8.745125499999985e-05,1749,,,,,,,,,
,1749,0.15157237648963928,0.0458788201212883,0.07026354968547821,0.01527029275894165,0.014392209239304066,0.005767501890659332,8.0,24,
,1774,,,,,,,,24,0.06322939693927765
8.995100499999985e-05,1799,,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,,
8.995100499999985e-05,1799,,,,,,,,,
,1799,0.10280366986989975,0.04848284274339676,0.022166632115840912,0.013350963592529297,0.013084040954709053,0.005719190929085016,8.0,25,
,1845,,,,,,,,25,0.0614016056060791
9.245075499999987e-05,1849,,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,,
9.245075499999987e-05,1849,,,,,,,,,
,1849,0.10553819686174393,0.03536432981491089,0.03595013543963432,0.015441341325640678,0.013720077462494373,0.005062304902821779,8.0,26,
9.49505049999999e-05,1899,,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,,
9.49505049999999e-05,1899,,,,,,,,,
,1899,0.11767011880874634,0.053747620433568954,0.027314551174640656,0.01508532278239727,0.015104507096111774,0.0064181131310760975,8.0,26,
,1916,,,,,,,,26,0.07995937019586563
9.745025499999994e-05,1949,,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,,
9.745025499999994e-05,1949,,,,,,,,,
,1949,0.15862514078617096,0.03891988471150398,0.08847977966070175,0.013399360701441765,0.012248262763023376,0.005577852483838797,8.0,27,
,1987,,,,,,,,27,0.0639791339635849
9.995000499999993e-05,1999,,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,,
9.995000499999993e-05,1999,,,,,,,,,
,1999,0.07346435636281967,0.02979803830385208,0.0173508170992136,0.012054410763084888,0.01042624656111002,0.003834843635559082,8.0,28,
9.999999999999994e-05,2049,,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,,
9.999999999999994e-05,2049,,,,,,,,,
,2049,0.11340637505054474,0.05767117440700531,0.01803598925471306,0.016892241314053535,0.01643684133887291,0.004370126407593489,8.0,28,
,2058,,,,,,,,28,0.07143343240022659
9.999999999999994e-05,2099,,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,,
9.999999999999994e-05,2099,,,,,,,,,
,2099,0.10223394632339478,0.05179988220334053,0.01900639757514,0.015944287180900574,0.012714626267552376,0.0027687540277838707,8.0,29,
,2129,,,,,,,,29,0.05931662395596504
9.999999999999994e-05,2149,,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,,
9.999999999999994e-05,2149,,,,,,,,,
,2149,0.2122357189655304,0.06240157037973404,0.10568994283676147,0.021328914910554886,0.018294956535100937,0.00452034268528223,8.0,30,
9.999999999999994e-05,2199,,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,,
9.999999999999994e-05,2199,,,,,,,,,
,2199,0.18333092331886292,0.045167095959186554,0.1038370430469513,0.01687808893620968,0.013949346728622913,0.0034993605222553015,9.0,30,
,2200,,,,,,,,30,0.06259643286466599
9.999999999999994e-05,2249,,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,,
9.999999999999994e-05,2249,,,,,,,,,
,2249,0.14074963331222534,0.039214640855789185,0.07475341111421585,0.012821395881474018,0.010832329280674458,0.003127864794805646,9.0,31,
,2271,,,,,,,,31,0.05771298334002495
9.999999999999994e-05,2299,,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,,
9.999999999999994e-05,2299,,,,,,,,,
,2299,0.1781972050666809,0.05777445062994957,0.0957503691315651,0.011676639318466187,0.010970097035169601,0.0020256564021110535,9.0,32,
